student_id,gender,grade_level,study_hours,attendance_pct,exam_score
78,F,9,24.1,91.9,91.5
79,F,11,15.1,74.2,73.0
80,F,12,31.6,52.4,92.0
81,F,9,2.6,50.8,51.3
82,M,10,10.2,73.7,65.2
83,M,12,9.2,58.2,55.5
84,M,11,39.4,85.3,100.0
85,M,9,28.2,89.8,99.9
86,F,9,24.7,61.4,78.4
87,F,12,0.2,79.6,65.9
88,F,12,7.4,57.7,46.5
89,F,10,25.4,65.2,80.4
90,F,10,15.2,94.4,79.5
91,F,12,37.0,77.2,93.4
92,F,9,30.6,94.3,100.0
93,F,9,17.9,61.3,70.7
94,F,12,30.0,66.5,83.8
95,M,9,39.0,73.5,98.8
96,F,12,18.4,74.0,64.1
97,F,10,25.7,99.9,88.7
98,F,12,36.7,55.7,95.8
99,M,9,9.9,92.6,69.5
100,M,12,35.5,93.2,96.7
101,M,9,3.9,77.7,69.3
102,F,9,25.9,67.2,90.1
103,F,11,31.3,76.0,94.1
104,F,11,24.6,64.6,76.9
105,F,12,19.8,90.0,81.8
106,M,9,24.7,74.9,78.6
107,F,9,6.1,96.3,64.4
108,F,11,8.6,81.1,61.6
109,M,12,10.8,75.7,64.7
110,F,10,23.9,85.6,80.0
111,M,12,17.7,75.2,66.4
112,F,12,9.8,95.2,75.4
113,F,12,35.3,59.2,91.0
114,F,11,15.0,98.7,91.2
115,F,11,17.8,90.6,77.3
116,M,11,16.4,93.0,82.4
117,F,11,7.3,74.1,65.8
118,F,11,29.3,91.9,92.9
119,F,11,17.9,65.3,77.0
120,F,10,0.7,88.1,66.3
121,M,11,38.6,57.0,94.4
122,F,12,32.6,65.4,87.2
123,M,12,28.9,72.3,84.9
124,F,11,34.8,66.1,83.2
125,M,9,36.3,69.4,89.4
126,M,11,13.5,91.0,73.0
127,M,10,24.4,62.8,72.1
128,F,9,24.4,87.3,90.0
129,M,9,10.7,53.7,67.7
130,M,11,8.9,88.3,65.2
131,F,12,4.6,89.6,68.1
132,M,11,26.4,70.1,77.4
133,M,10,31.2,86.1,92.6
134,M,9,30.4,95.8,92.8
135,M,11,12.7,90.0,79.1
136,F,9,8.2,69.5,59.3
137,F,12,18.1,74.2,81.9
138,F,12,21.9,89.0,83.8
139,M,12,36.8,64.6,89.2
140,M,10,35.0,90.2,92.6
141,M,9,36.6,66.4,95.0
142,M,10,34.0,90.3,100.0
143,F,12,38.6,54.3,93.1
144,F,9,18.6,52.2,82.2
145,M,12,1.9,99.9,75.6
146,F,9,3.3,93.5,64.5
147,F,9,15.6,94.1,78.2
148,M,9,10.3,97.6,78.3
149,F,12,6.8,71.9,57.6
150,M,11,38.1,64.3,100.0
151,M,10,7.8,56.5,60.5
152,F,11,38.4,75.1,100.0
153,F,11,30.4,61.0,88.9
154,M,11,25.6,96.8,100.0
155,F,11,27.0,50.2,78.3
156,F,9,13.3,57.2,64.0
157,F,10,25.9,62.3,89.3
158,M,11,7.5,59.9,65.0
159,F,9,37.5,61.3,90.8
160,F,10,12.1,82.8,72.3
161,F,9,10.2,66.4,65.6
162,F,12,28.4,80.8,91.7
163,F,9,26.3,94.5,83.9
164,F,9,18.1,80.1,68.7
165,F,11,25.3,84.7,82.2
166,F,9,6.4,68.3,55.2
167,M,10,26.9,58.0,76.0
168,M,10,10.8,66.0,68.8
169,F,9,10.9,98.2,75.3
170,F,12,6.5,81.1,66.7
171,F,11,13.3,63.9,59.6
172,M,9,13.3,72.5,67.2
173,F,11,18.2,91.8,85.7
174,M,11,7.6,83.4,71.1
175,M,11,7.7,78.0,61.4
176,M,11,21.7,94.3,87.8
177,M,12,5.2,83.6,78.2
178,F,10,27.6,82.1,89.0
179,F,10,37.8,59.5,88.2
180,M,11,17.1,55.3,67.1
181,F,12,36.0,98.3,100.0
182,M,11,3.9,79.9,61.3
183,M,9,1.7,70.8,56.5
184,F,10,28.9,79.5,81.0
185,M,11,30.4,53.1,76.2
186,F,9,33.7,91.1,98.1
187,M,12,2.3,60.8,52.8
188,M,12,31.1,90.2,92.4
189,F,12,15.1,76.7,72.4
190,F,9,12.1,63.8,66.0
191,M,11,6.9,51.5,61.0
192,M,11,39.8,90.8,100.0
193,F,11,2.5,58.8,55.7
194,M,12,33.1,52.6,81.6
195,M,10,25.6,87.8,92.3
196,F,11,29.4,67.5,88.2
197,M,11,28.5,69.5,90.9
198,F,12,34.3,62.4,93.9
199,M,12,7.4,93.0,74.2
200,F,10,0.0,64.9,52.1
201,F,12,23.9,60.5,78.9
202,M,9,14.2,65.5,74.9
203,M,10,5.0,60.2,52.7
204,M,11,7.4,65.9,57.4
205,F,9,13.3,54.1,64.7
206,F,10,2.8,57.9,55.8
207,F,11,2.3,70.9,52.4
208,M,11,36.6,94.0,100.0
209,M,9,12.5,52.9,61.7
210,F,10,39.3,60.6,81.1
211,F,9,38.6,95.4,100.0
212,F,11,5.7,94.5,68.4
213,M,10,28.6,84.0,89.9
214,M,11,24.0,62.0,86.6
215,M,11,27.6,71.0,77.9
216,M,12,3.8,60.6,50.4
217,M,9,7.5,56.4,42.3
218,F,12,3.1,69.0,54.7
219,M,9,24.2,78.8,81.8
220,F,9,39.5,68.0,94.2
221,F,9,26.9,80.5,94.4
222,F,9,28.4,64.8,89.1
223,F,12,39.4,67.3,97.4
224,M,9,27.1,89.5,88.9
225,F,11,1.6,93.9,70.8
226,M,10,34.7,66.1,91.2
227,F,9,14.6,78.6,68.7
228,F,10,0.2,63.9,42.3
229,F,9,20.3,52.7,68.1
230,M,10,37.5,86.9,100.0
231,M,11,10.3,58.6,75.5
232,M,11,19.7,71.3,77.0
233,M,10,7.0,74.4,59.1
234,F,12,2.3,59.2,46.1
235,M,11,3.2,54.7,56.0
236,M,10,29.1,67.4,75.0
237,F,10,34.6,97.6,100.0
238,M,9,5.7,80.8,69.5
239,F,12,11.5,69.1,69.5
240,M,12,7.8,51.9,55.4
241,M,10,1.1,80.0,62.6
242,F,11,22.1,54.6,74.4
243,F,11,28.0,77.1,83.1
244,F,11,25.9,87.6,100.0
245,F,9,15.5,71.2,69.9
246,M,12,22.2,65.0,81.8
247,F,12,3.8,52.4,38.0
248,M,12,6.2,51.2,62.4
249,F,12,37.3,71.5,100.0
250,M,12,30.5,94.2,96.7
251,F,11,36.9,62.2,95.7
252,M,9,36.7,78.7,100.0
253,F,10,26.0,84.2,84.2
254,F,9,37.1,53.0,92.6
255,F,9,16.7,57.7,63.7
256,F,12,0.1,66.6,49.8
257,M,12,2.5,83.5,68.7
258,M,11,4.4,72.0,65.9
259,F,11,3.8,86.7,60.3
260,M,9,14.1,93.4,73.8
261,M,9,28.1,87.9,87.8
262,M,12,31.6,99.6,100.0
263,F,10,23.6,87.7,80.7
264,M,11,5.9,92.6,71.0
265,M,10,29.9,91.6,99.4
266,F,9,14.2,86.5,75.4
267,M,12,0.5,90.1,68.1
268,M,12,11.2,96.7,74.3
269,M,11,13.2,73.8,69.1
270,F,10,11.0,81.9,64.9
271,M,11,32.5,75.7,98.3
272,F,12,30.4,92.6,91.3
273,M,11,27.8,71.6,87.7
274,M,10,5.6,91.0,67.6
275,M,10,32.3,90.0,90.7
276,M,11,27.1,98.1,90.5
277,M,10,7.8,62.4,68.7
278,M,11,25.9,85.5,89.6
279,M,9,19.3,87.8,75.9
280,F,9,17.6,96.8,85.1
281,F,12,4.5,95.3,67.4
282,F,10,20.7,78.7,100.0
283,F,10,4.0,79.0,63.8
284,F,11,6.6,58.4,55.4
285,F,10,5.3,98.7,78.9
286,F,12,38.2,62.8,83.0
287,M,9,11.4,86.2,73.3
288,F,12,14.2,89.8,89.0
289,M,9,12.9,72.1,68.7
290,F,10,35.9,60.6,80.3
291,F,11,22.5,59.4,73.2
292,M,12,36.8,92.8,100.0
293,M,9,12.0,75.5,71.9
294,M,11,4.6,54.5,49.1
295,M,9,22.2,85.9,80.4
296,F,9,13.8,62.5,63.7
297,F,12,32.1,93.8,100.0
298,F,11,35.2,65.5,99.7
299,F,10,18.9,60.0,78.1
300,M,11,38.9,54.2,94.5
301,M,10,22.1,75.6,72.8
302,F,10,10.8,72.5,59.3
303,F,10,19.6,87.6,85.4
304,F,10,1.5,73.2,49.2
305,M,12,32.2,67.2,87.6
306,F,10,4.1,63.1,58.4
307,F,10,12.3,63.9,59.1
308,M,11,22.6,96.4,82.5
309,M,12,1.7,58.3,51.7
310,M,10,3.2,99.4,71.3
311,M,12,27.8,66.3,90.2
312,M,10,2.9,54.4,55.9
313,F,11,19.1,62.4,73.3
314,F,12,13.5,52.9,58.9
315,M,10,9.1,89.5,64.9
316,F,9,7.6,75.6,61.8
317,F,11,30.5,66.8,89.4
318,M,9,38.1,83.1,100.0
319,M,10,5.6,81.5,52.1
320,M,12,38.4,97.0,100.0
321,F,10,23.8,98.1,97.7
322,F,11,25.7,84.0,88.1
323,F,11,28.4,90.9,84.6
324,F,9,28.2,89.6,100.0
325,M,10,32.8,74.6,92.0
326,M,11,19.3,85.2,83.4
327,F,9,21.3,53.9,74.7
328,M,10,13.0,87.9,72.9
329,M,10,4.2,98.1,64.6
330,M,12,26.6,54.2,91.0
331,M,9,1.3,91.8,69.6
332,M,12,11.0,96.6,80.8
333,M,10,3.8,61.3,59.1
334,M,11,7.6,76.2,59.0
335,F,11,25.5,96.4,99.5
336,F,10,25.1,98.0,86.9
337,F,12,16.8,56.4,69.9
338,F,9,3.6,67.5,47.7
339,F,9,17.3,84.9,66.5
340,M,12,14.1,61.1,68.8
341,F,11,28.8,66.2,80.0
342,F,12,23.2,51.2,61.5
343,F,10,19.7,57.7,75.1
344,M,9,19.5,78.1,91.5
345,M,9,38.7,82.7,100.0
346,F,10,30.3,82.4,90.6
347,F,9,19.9,88.9,83.1
348,F,12,19.2,70.8,81.2
349,F,9,1.1,63.7,60.2
350,M,12,37.7,50.8,87.2
351,M,9,12.8,60.3,65.4
352,F,9,10.2,65.6,66.0
353,F,10,40.0,58.9,97.9
354,M,9,28.7,51.0,78.6
355,M,10,1.9,57.9,51.6
356,M,10,2.5,83.3,70.2
357,M,11,1.0,81.5,66.9
358,F,11,24.0,96.8,93.1
359,M,9,2.9,89.9,75.0
360,F,9,37.3,78.4,96.2
361,M,9,37.5,56.9,100.0
362,F,9,21.8,78.2,84.6
363,M,9,24.7,53.1,95.4
364,F,10,11.7,71.5,60.7
365,F,11,2.6,69.5,53.0
366,F,10,29.5,71.4,90.0
367,F,10,4.1,64.0,59.3
368,F,10,3.4,84.3,74.9
369,F,11,12.4,92.0,71.8
370,M,10,0.5,88.4,66.9
371,M,9,17.4,81.4,84.6
372,M,10,28.3,76.9,92.3
373,M,9,32.1,51.6,77.6
374,F,10,24.2,86.1,95.2
375,M,12,33.9,77.2,100.0
376,M,10,16.3,63.5,73.8
377,F,9,34.0,66.4,91.9
378,M,11,20.3,96.8,87.6
379,M,9,8.9,81.2,67.7
380,F,9,37.8,73.8,100.0
381,F,9,11.0,81.0,70.6
382,F,12,1.0,70.7,50.8
383,F,12,9.7,73.5,60.1
384,F,11,14.7,64.5,64.2
385,F,11,14.1,72.0,72.0
386,M,11,21.0,84.3,82.4
387,F,11,35.3,52.0,88.3
388,M,11,11.7,89.8,77.3
389,M,12,20.8,64.1,71.6
390,F,11,13.6,84.1,83.2
391,F,9,32.9,82.1,93.3
392,M,10,6.3,82.6,63.2
393,F,12,4.1,80.4,65.5
394,F,10,20.1,98.0,75.4
395,F,9,26.9,75.4,81.2
396,M,12,31.8,86.6,100.0
397,F,11,23.6,85.3,75.4
398,M,11,31.0,61.8,92.4
399,F,10,15.7,64.2,78.8
400,M,9,1.3,71.2,54.1
401,F,10,4.6,63.9,59.2
402,M,10,1.5,68.3,62.3
403,M,12,13.2,69.5,66.0
404,M,10,19.8,80.2,85.1
405,F,9,14.3,61.0,63.1
406,M,10,22.4,90.2,83.3
407,F,12,19.2,71.9,71.5
408,M,10,27.1,85.3,91.7
409,M,10,26.7,54.1,85.3
410,F,11,12.7,73.5,68.6
411,F,11,13.8,51.4,55.5
412,M,10,23.4,83.8,78.6
413,M,12,23.9,67.2,82.2
414,M,11,12.6,97.5,89.0
415,F,9,13.2,66.2,70.1
416,F,10,27.8,78.2,85.6
417,M,12,25.9,62.9,85.1
418,F,10,5.4,81.0,62.9
419,M,11,17.6,73.4,72.8
420,M,11,35.7,68.5,87.5
421,F,11,1.5,60.2,61.2
422,F,12,34.2,55.6,71.8
423,M,9,6.5,56.0,61.5
424,F,11,20.3,100.0,84.5
425,M,11,17.0,70.6,70.9
426,F,9,0.4,50.1,58.1
427,M,11,36.6,97.6,100.0
428,M,9,18.2,51.0,63.8
429,M,10,38.2,70.9,96.1
430,F,10,11.5,85.9,75.2
431,F,9,34.7,95.7,99.0
432,M,12,36.9,85.6,91.1
433,F,9,22.3,73.2,75.0
434,F,10,8.1,98.7,81.1
435,M,12,27.4,52.0,78.8
436,F,12,22.0,99.3,91.7
437,F,9,37.8,92.5,100.0
438,M,10,17.6,96.4,79.1
439,M,11,10.7,62.7,73.8
440,M,12,5.5,57.1,54.9
441,F,12,27.9,83.2,87.1
442,F,11,39.0,75.8,100.0
443,M,9,1.1,76.2,53.5
444,M,12,29.6,96.2,92.7
445,M,9,37.1,81.0,99.2
446,M,9,3.0,65.6,56.3
447,M,11,4.4,70.0,60.9
448,M,11,27.7,56.7,92.9
449,F,9,25.9,59.6,81.4
450,M,9,2.8,57.2,38.8
451,F,11,33.4,90.5,100.0
452,M,10,20.9,85.2,83.0
453,M,11,36.3,76.5,97.0
454,F,10,35.1,68.7,94.1
455,F,11,32.5,83.4,94.8
456,F,10,20.6,90.6,84.1
457,F,10,10.1,94.1,77.7
458,M,10,20.2,77.4,76.1
459,M,11,4.0,91.0,60.6
460,F,11,26.4,75.6,100.0
461,F,11,5.4,73.7,57.4
462,F,11,20.4,93.3,85.7
463,F,9,2.2,69.3,47.7
464,M,12,12.0,69.8,68.3
465,M,11,9.3,65.2,57.5
466,M,11,24.8,75.9,81.2
467,F,12,31.5,77.2,97.9
468,F,12,2.3,83.0,64.4
469,M,11,34.0,71.5,95.8
470,F,12,34.4,60.9,78.5
471,F,10,13.7,93.3,88.7
472,M,11,26.4,67.3,75.4
473,M,10,16.1,96.1,90.5
474,F,11,6.2,60.4,64.1
475,F,9,21.1,78.0,84.0
476,M,12,3.5,76.8,55.6
477,M,9,35.1,91.4,100.0
478,M,11,37.0,56.9,87.8
479,F,9,32.9,95.5,99.8
480,M,9,22.5,76.6,80.1
481,F,12,22.3,79.3,70.1
482,M,12,39.4,75.5,100.0
483,M,9,9.9,51.8,58.5
484,M,9,3.0,74.9,56.6
485,F,12,22.5,63.2,73.5
486,M,12,13.2,67.1,70.2
487,F,9,12.9,82.5,67.7
488,M,11,0.3,74.9,43.0
489,F,10,23.8,54.7,77.8
490,M,11,10.6,53.7,63.6
491,M,10,7.5,59.3,57.8
492,F,9,1.6,59.5,45.7
493,F,10,14.6,80.4,74.7
494,F,11,35.2,58.9,80.5
495,M,12,13.5,94.1,71.6
496,F,9,27.2,60.5,76.6
497,M,12,30.3,54.6,87.5
498,F,11,13.1,93.8,75.1
499,F,12,32.9,64.8,86.2
500,F,12,27.7,71.3,97.2
