order_id,order_date,region,category,units,unit_price,revenue
243,2023-02-04,South,Groceries,4,81.37,325.48
700,2023-02-04,West,Groceries,6,366.1,2196.6
674,2023-02-04,North,Furniture,15,422.02,6330.3
791,2023-02-04,East,Furniture,1,298.11,298.11
10,2023-02-04,West,Electronics,1,219.1,219.1
218,2023-02-05,South,Furniture,1,238.92,238.92
87,2023-02-05,North,Furniture,5,253.92,1269.6
588,2023-02-06,South,Furniture,15,294.16,4412.4
258,2023-02-07,West,Clothing,6,147.01,882.06
580,2023-02-07,East,Furniture,10,485.04,4850.4
171,2023-02-08,South,Furniture,16,292.22,4675.52
460,2023-02-08,West,Furniture,9,30.6,275.4
516,2023-02-08,South,Electronics,9,464.2,4177.8
583,2023-02-08,South,Clothing,16,419.88,6718.08
322,2023-02-09,North,Clothing,13,153.63,1997.19
480,2023-02-09,West,Electronics,19,20.38,387.22
310,2023-02-09,North,Groceries,17,447.06,7600.02
501,2023-02-11,West,Groceries,10,374.82,3748.2
120,2023-02-11,East,Clothing,19,415.65,7897.35
538,2023-02-12,South,Electronics,14,388.1,5433.4
726,2023-02-12,North,Groceries,17,493.08,8382.36
365,2023-02-12,East,Groceries,4,371.19,1484.76
724,2023-02-13,North,Clothing,12,44.74,536.88
778,2023-02-13,West,Electronics,6,303.05,1818.3
497,2023-02-13,South,Groceries,13,24.29,315.77
198,2023-02-13,South,Electronics,14,148.47,2078.58
313,2023-02-13,North,Electronics,18,452.43,8143.74
386,2023-02-14,South,Groceries,3,463.7,1391.1
783,2023-02-14,East,Groceries,15,79.55,1193.25
418,2023-02-14,East,Clothing,17,20.86,354.62
784,2023-02-14,South,Furniture,2,9.27,18.54
436,2023-02-15,South,Groceries,11,392.5,4317.5
221,2023-02-16,North,Furniture,17,464.35,7893.95
18,2023-02-16,North,Clothing,5,287.73,1438.65
759,2023-02-16,West,Clothing,13,494.6,6429.8
157,2023-02-16,South,Furniture,16,74.81,1196.96
74,2023-02-17,North,Groceries,4,68.51,274.04
705,2023-02-17,East,Groceries,14,220.89,3092.46
434,2023-02-17,East,Clothing,11,213.53,2348.83
443,2023-02-18,West,Clothing,15,318.02,4770.3
670,2023-02-18,North,Groceries,2,435.33,870.66
414,2023-02-18,West,Groceries,19,223.33,4243.27
604,2023-02-19,South,Furniture,19,97.06,1844.14
721,2023-02-20,West,Electronics,12,21.13,253.56
682,2023-02-20,North,Furniture,16,98.11,1569.76
118,2023-02-21,West,Furniture,10,305.15,3051.5
100,2023-02-21,East,Groceries,18,362.31,6521.58
620,2023-02-21,South,Electronics,15,160.79,2411.85
241,2023-02-21,East,Furniture,5,20.91,104.55
769,2023-02-21,West,Electronics,16,186.46,2983.36
462,2023-02-21,West,Clothing,18,136.58,2458.44
329,2023-02-21,East,Electronics,12,14.13,169.56
306,2023-02-21,North,Electronics,6,225.12,1350.72
256,2023-02-22,West,Groceries,11,499.42,5493.62
528,2023-02-22,North,Clothing,7,167.32,1171.24
408,2023-02-22,East,Electronics,6,75.11,450.66
752,2023-02-23,West,Groceries,5,427.55,2137.75
522,2023-02-23,South,Groceries,15,21.24,318.6
457,2023-02-24,North,Clothing,11,489.13,5380.43
182,2023-02-25,East,Furniture,9,399.3,3593.7
273,2023-02-25,West,Clothing,17,492.88,8378.96
357,2023-02-25,North,Clothing,17,277.41,4715.97
390,2023-02-25,North,Groceries,16,79.55,1272.8
536,2023-02-26,West,Clothing,5,268.25,1341.25
533,2023-02-26,South,Clothing,4,495.45,1981.8
58,2023-02-26,North,Groceries,18,424.1,7633.8
750,2023-02-27,North,Clothing,3,16.76,50.28
83,2023-02-28,South,Electronics,4,375.93,1503.72
178,2023-02-28,East,Electronics,9,226.46,24457.68
287,2023-02-28,West,Clothing,5,67.98,339.9
467,2023-03-02,North,Clothing,6,253.69,1522.14
168,2023-03-02,South,Furniture,13,41.66,541.58
623,2023-03-02,East,Electronics,8,211.0,1688.0
41,2023-03-02,South,Clothing,7,378.51,2649.57
187,2023-03-02,East,Electronics,8,168.45,1347.6
532,2023-03-02,East,Groceries,13,379.54,4934.02
350,2023-03-02,West,Furniture,19,462.86,8794.34
703,2023-03-03,North,Clothing,1,238.46,238.46
685,2023-03-03,South,Clothing,7,106.16,743.12
262,2023-03-04,East,Furniture,15,496.79,7451.85
704,2023-03-04,South,Groceries,9,245.59,2210.31
259,2023-03-05,South,Clothing,13,128.96,1676.48
411,2023-03-05,East,Furniture,10,28.45,284.5
544,2023-03-05,East,Clothing,4,404.17,1616.68
230,2023-03-06,South,Groceries,1,249.29,249.29
661,2023-03-06,West,Electronics,5,350.67,1753.35
761,2023-03-06,South,Clothing,3,416.2,1248.6
251,2023-03-07,East,Electronics,17,119.19,2026.23
392,2023-03-07,South,Furniture,3,338.73,1016.19
349,2023-03-07,East,Electronics,8,13.84,110.72
564,2023-03-08,North,Groceries,2,215.43,430.86
635,2023-03-08,South,Clothing,2,375.51,751.02
469,2023-03-08,West,Furniture,17,133.12,2263.04
23,2023-03-08,North,Groceries,2,405.92,811.84
253,2023-03-10,East,Furniture,19,252.6,4799.4
72,2023-03-11,North,Clothing,2,311.36,622.72
523,2023-03-12,East,Clothing,3,143.28,429.84
543,2023-03-13,North,Groceries,15,384.6,5769.0
52,2023-03-13,West,Electronics,17,140.7,2391.9
398,2023-03-13,West,Groceries,11,170.85,1879.35
102,2023-03-14,North,Electronics,2,492.17,984.34
426,2023-03-14,West,Furniture,17,200.07,3401.19
339,2023-03-15,East,Groceries,10,126.56,1265.6
224,2023-03-15,West,Groceries,18,302.99,5453.82
9,2023-03-15,South,Electronics,9,217.83,1960.47
664,2023-03-15,North,Clothing,3,50.93,152.79
653,2023-03-15,North,Electronics,15,192.54,2888.1
735,2023-03-18,West,Clothing,14,217.05,3038.7
142,2023-03-20,South,Clothing,19,119.22,2265.18
363,2023-03-23,West,Electronics,7,288.06,2016.42
78,2023-03-24,East,Furniture,4,223.41,893.64
32,2023-03-24,North,Groceries,10,431.6,4316.0
412,2023-03-25,West,Furniture,6,146.86,881.16
567,2023-03-25,South,Furniture,5,447.4,2237.0
326,2023-03-26,West,Electronics,12,27.75,333.0
486,2023-03-26,North,Clothing,3,135.42,406.26
626,2023-03-26,West,Clothing,12,130.39,1564.68
637,2023-03-27,South,Electronics,16,72.55,1160.8
148,2023-03-27,North,Furniture,12,268.15,3217.8
566,2023-03-28,North,Groceries,12,138.82,1665.84
327,2023-03-28,West,Furniture,3,179.35,538.05
719,2023-03-28,South,Groceries,1,250.66,250.66
510,2023-03-28,West,Furniture,7,85.61,599.27
384,2023-03-29,South,Groceries,16,124.64,1994.24
97,2023-03-29,East,Furniture,16,98.32,1573.12
189,2023-03-29,North,Furniture,19,428.92,8149.48
593,2023-03-29,West,Furniture,4,361.92,1447.68
315,2023-03-31,North,Furniture,10,79.27,792.7
119,2023-03-31,South,Furniture,3,330.95,992.85
508,2023-04-01,North,Electronics,19,496.44,9432.36
483,2023-04-02,South,Furniture,11,341.62,3757.82
568,2023-04-02,South,Groceries,5,215.86,1079.3
617,2023-04-02,East,Furniture,11,61.44,675.84
696,2023-04-03,South,Groceries,15,24.56,368.4
346,2023-04-04,South,Electronics,8,463.21,3705.68
380,2023-04-06,North,Groceries,1,111.55,111.55
211,2023-04-06,South,Electronics,19,115.07,2186.33
209,2023-04-07,East,Electronics,10,207.47,2074.7
618,2023-04-08,South,Groceries,5,465.17,2325.85
292,2023-04-08,South,Electronics,12,380.87,4570.44
206,2023-04-08,West,Electronics,15,342.88,5143.2
779,2023-04-09,North,Groceries,5,71.22,356.1
509,2023-04-09,South,Furniture,3,174.06,522.18
744,2023-04-09,East,Clothing,11,147.59,1623.49
216,2023-04-10,West,Electronics,13,275.17,3577.21
143,2023-04-11,West,Furniture,19,18.46,350.74
505,2023-04-11,East,Groceries,13,305.23,3967.99
281,2023-04-11,West,Furniture,3,255.22,765.66
39,2023-04-12,North,Electronics,17,126.71,2154.07
413,2023-04-12,South,Electronics,4,74.19,296.76
111,2023-04-12,West,Furniture,4,394.96,1579.84
314,2023-04-13,South,Groceries,10,277.0,2770.0
399,2023-04-13,West,Furniture,14,423.62,5930.68
152,2023-04-13,South,Groceries,7,104.76,733.32
573,2023-04-14,South,Groceries,12,253.83,3045.96
299,2023-04-14,North,Clothing,3,37.15,111.45
534,2023-04-14,West,Furniture,9,464.62,4181.58
450,2023-04-15,West,Clothing,7,171.46,1200.22
96,2023-04-16,East,Clothing,4,263.93,1055.72
481,2023-04-16,East,Groceries,1,198.96,198.96
495,2023-04-16,West,Electronics,5,450.55,2252.75
660,2023-04-16,East,Groceries,6,217.4,1304.4
342,2023-04-17,South,Furniture,2,230.17,460.34
796,2023-04-18,North,Clothing,4,495.67,1982.68
154,2023-04-18,South,Furniture,4,406.82,1627.28
271,2023-04-18,East,Electronics,16,155.09,2481.44
638,2023-04-19,East,Furniture,3,163.48,490.44
419,2023-04-19,West,Clothing,3,309.12,927.36
353,2023-04-20,South,Electronics,12,382.69,4592.28
263,2023-04-20,North,Groceries,3,495.19,1485.57
442,2023-04-20,West,Groceries,14,394.84,5527.76
136,2023-04-21,West,Groceries,19,374.3,7111.7
307,2023-04-21,North,Furniture,14,224.21,3138.94
190,2023-04-21,West,Groceries,7,43.48,304.36
226,2023-04-22,North,Groceries,12,40.57,486.84
239,2023-04-23,South,Electronics,3,385.78,1157.34
526,2023-04-24,North,Furniture,4,195.66,782.64
333,2023-04-24,West,Groceries,18,389.44,7009.92
400,2023-04-24,East,Furniture,8,262.44,2099.52
88,2023-04-25,North,Furniture,2,255.11,510.22
749,2023-04-25,South,Electronics,19,49.02,931.38
748,2023-04-25,West,Groceries,16,418.59,6697.44
447,2023-04-25,West,Furniture,17,225.24,3829.08
368,2023-04-26,South,Furniture,19,425.24,8079.56
338,2023-04-26,South,Clothing,4,303.69,1214.76
799,2023-04-26,West,Furniture,19,66.34,1260.46
309,2023-04-26,West,Electronics,14,402.36,5633.04
554,2023-04-27,West,Clothing,9,400.62,43266.96
403,2023-04-27,West,Furniture,19,476.72,9057.68
525,2023-04-27,West,Clothing,9,192.42,1731.78
321,2023-04-28,North,Furniture,12,249.56,2994.72
607,2023-04-28,South,Electronics,12,360.44,4325.28
595,2023-04-28,North,Clothing,15,300.94,4514.1
167,2023-04-28,East,Clothing,16,494.96,7919.36
66,2023-04-29,East,Furniture,4,426.24,1704.96
632,2023-04-30,North,Electronics,6,329.45,1976.7
646,2023-04-30,North,Groceries,17,102.49,1742.33
77,2023-05-01,East,Electronics,10,365.55,3655.5
254,2023-05-01,West,Electronics,8,379.27,3034.16
487,2023-05-02,West,Clothing,18,180.83,3254.94
294,2023-05-02,South,Clothing,9,15.47,139.23
738,2023-05-02,North,Groceries,10,187.94,1879.4
169,2023-05-03,West,Electronics,8,70.61,564.88
371,2023-05-03,East,Groceries,13,159.55,2074.15
199,2023-05-04,West,Furniture,19,279.37,5308.03
627,2023-05-04,East,Groceries,3,354.11,1062.33
197,2023-05-06,East,Groceries,10,286.57,2865.7
268,2023-05-07,East,Groceries,19,105.91,2012.29
139,2023-05-07,South,Electronics,11,267.99,2947.89
44,2023-05-10,North,Clothing,5,104.28,521.4
521,2023-05-11,North,Groceries,7,140.58,984.06
765,2023-05-12,East,Groceries,3,334.28,1002.84
746,2023-05-13,East,Furniture,11,37.87,416.57
53,2023-05-13,West,Electronics,2,131.09,262.18
301,2023-05-13,South,Clothing,17,292.96,4980.32
194,2023-05-13,South,Furniture,2,346.01,692.02
630,2023-05-14,West,Groceries,17,328.6,5586.2
201,2023-05-14,West,Electronics,17,307.12,5221.04
63,2023-05-14,North,Electronics,10,392.54,3925.4
628,2023-05-15,West,Groceries,15,38.24,573.6
393,2023-05-15,North,Furniture,14,173.17,2424.38
332,2023-05-16,East,Furniture,10,307.15,3071.5
22,2023-05-16,East,Electronics,15,261.86,3927.9
68,2023-05-16,West,Clothing,13,117.69,1529.97
498,2023-05-17,East,Groceries,12,249.83,2997.96
374,2023-05-17,North,Furniture,14,187.65,2627.1
576,2023-05-17,West,Groceries,9,285.07,2565.63
770,2023-05-18,West,Electronics,12,263.11,3157.32
634,2023-05-19,East,Electronics,3,475.18,17106.48
379,2023-05-19,South,Electronics,8,368.4,2947.2
188,2023-05-20,South,Electronics,7,344.59,2412.13
758,2023-05-20,West,Electronics,19,252.83,4803.77
614,2023-05-21,West,Electronics,14,243.78,3412.92
94,2023-05-22,West,Furniture,12,369.58,4434.96
552,2023-05-24,South,Furniture,10,21.92,219.2
440,2023-05-26,North,Furniture,19,383.1,7278.9
27,2023-05-27,East,Clothing,3,188.91,566.73
585,2023-05-28,South,Clothing,14,265.6,3718.4
164,2023-05-29,North,Clothing,8,49.55,396.4
687,2023-05-29,North,Groceries,4,444.57,1778.28
373,2023-05-30,South,Clothing,4,367.9,1471.6
163,2023-05-30,West,Electronics,13,109.83,1427.79
65,2023-05-30,West,Clothing,9,459.11,4131.99
144,2023-05-30,South,Electronics,8,479.47,3835.76
496,2023-05-31,East,Groceries,11,174.61,1920.71
248,2023-06-01,East,Clothing,15,322.57,4838.55
572,2023-06-01,South,Clothing,1,132.4,132.4
165,2023-06-02,West,Clothing,9,64.45,580.05
464,2023-06-02,West,Clothing,12,49.9,598.8
275,2023-06-02,South,Furniture,18,453.52,8163.36
425,2023-06-02,South,Electronics,12,230.99,2771.88
732,2023-06-02,North,Groceries,9,191.48,1723.32
624,2023-06-02,East,Furniture,4,99.07,396.28
777,2023-06-04,East,Groceries,12,436.69,5240.28
500,2023-06-05,North,Electronics,4,123.04,492.16
547,2023-06-06,West,Electronics,12,51.7,620.4
795,2023-06-07,East,Furniture,15,299.62,4494.3
238,2023-06-07,North,Furniture,15,218.81,3282.15
473,2023-06-07,West,Furniture,16,143.35,2293.6
91,2023-06-08,North,Groceries,7,394.51,2761.57
407,2023-06-08,East,Furniture,6,247.19,1483.14
633,2023-06-08,North,Groceries,11,51.54,566.94
5,2023-06-08,East,Electronics,8,121.45,971.6
155,2023-06-08,West,Clothing,19,178.03,3382.57
621,2023-06-08,West,Groceries,7,180.81,1265.67
354,2023-06-08,West,Furniture,13,485.25,6308.25
435,2023-06-08,East,Groceries,8,54.64,437.12
82,2023-06-09,West,Electronics,17,411.15,6989.55
756,2023-06-09,North,Furniture,17,398.79,6779.43
140,2023-06-09,East,Electronics,10,390.74,3907.4
4,2023-06-10,West,Furniture,11,408.16,4489.76
298,2023-06-10,West,Groceries,8,141.14,1129.12
121,2023-06-10,West,Electronics,9,17.1,153.9
800,2023-06-11,East,Clothing,6,279.85,1679.1
30,2023-06-11,North,Electronics,6,207.97,1247.82
285,2023-06-11,North,Clothing,10,170.11,1701.1
689,2023-06-12,North,Groceries,5,103.9,519.5
47,2023-06-12,North,Furniture,15,148.27,2224.05
186,2023-06-12,East,Electronics,11,421.82,4640.02
219,2023-06-13,North,Electronics,13,252.1,3277.3
267,2023-06-13,West,Electronics,5,466.8,2334.0
214,2023-06-14,South,Furniture,12,122.35,1468.2
31,2023-06-14,North,Clothing,3,242.31,726.93
20,2023-06-14,West,Groceries,8,24.13,193.04
506,2023-06-15,East,Furniture,17,356.63,6062.71
792,2023-06-15,South,Electronics,13,379.26,4930.38
222,2023-06-16,North,Groceries,8,248.45,1987.6
205,2023-06-16,North,Electronics,15,339.0,5085.0
537,2023-06-16,East,Clothing,15,160.72,2410.8
335,2023-06-17,East,Electronics,9,357.29,3215.61
114,2023-06-17,West,Clothing,15,442.35,6635.25
798,2023-06-17,East,Furniture,16,98.8,1580.8
485,2023-06-18,South,Electronics,7,339.03,2373.21
73,2023-06-18,North,Furniture,8,381.18,3049.44
612,2023-06-18,East,Groceries,10,230.4,2304.0
647,2023-06-18,West,Clothing,14,134.64,1884.96
176,2023-06-18,North,Electronics,7,263.45,1844.15
231,2023-06-19,South,Furniture,18,236.82,4262.76
474,2023-06-20,East,Furniture,5,428.46,2142.3
277,2023-06-20,East,Electronics,19,138.22,2626.18
54,2023-06-20,North,Clothing,9,71.84,646.56
710,2023-06-20,East,Clothing,5,449.57,2247.85
124,2023-06-21,North,Clothing,8,283.94,2271.52
70,2023-06-21,North,Clothing,5,434.37,2171.85
367,2023-06-21,North,Furniture,8,366.24,2929.92
109,2023-06-22,South,Electronics,8,438.39,3507.12
290,2023-06-22,North,Furniture,19,225.91,4292.29
519,2023-06-23,South,Clothing,17,58.58,995.86
76,2023-06-23,East,Groceries,9,469.56,4226.04
709,2023-06-23,West,Furniture,18,301.09,5419.62
768,2023-06-24,East,Electronics,6,212.19,1273.14
622,2023-06-24,West,Electronics,3,228.96,686.88
785,2023-06-24,East,Electronics,12,28.39,340.68
644,2023-06-25,South,Electronics,11,131.0,1441.0
276,2023-06-26,North,Electronics,12,400.23,4802.76
282,2023-06-27,West,Furniture,2,320.15,640.3
729,2023-06-28,North,Electronics,10,288.95,2889.5
651,2023-06-28,South,Clothing,16,269.28,4308.48
444,2023-06-28,South,Clothing,10,464.94,4649.4
718,2023-06-29,North,Furniture,13,383.22,4981.86
284,2023-06-29,East,Groceries,16,375.84,6013.44
563,2023-06-29,South,Furniture,19,199.4,3788.6
235,2023-06-29,North,Furniture,2,112.37,224.74
203,2023-06-30,East,Furniture,15,71.86,1077.9
185,2023-06-30,East,Clothing,7,126.94,888.58
252,2023-06-30,South,Furniture,17,453.37,7707.29
183,2023-07-01,East,Electronics,6,134.05,804.3
55,2023-07-01,South,Electronics,16,472.18,7554.88
180,2023-07-02,East,Clothing,11,236.49,2601.39
406,2023-07-02,West,Electronics,19,443.12,8419.28
405,2023-07-02,East,Groceries,4,62.37,249.48
21,2023-07-02,North,Furniture,5,107.96,539.8
453,2023-07-02,North,Furniture,3,228.99,686.97
667,2023-07-03,East,Clothing,16,377.0,6032.0
159,2023-07-04,West,Clothing,1,451.93,451.93
420,2023-07-04,South,Furniture,14,189.99,2659.86
556,2023-07-04,South,Furniture,19,429.15,8153.85
629,2023-07-04,South,Furniture,5,24.18,120.9
115,2023-07-04,East,Clothing,2,154.15,308.3
445,2023-07-05,West,Furniture,9,490.6,4415.4
344,2023-07-07,West,Electronics,18,92.45,1664.1
608,2023-07-07,West,Groceries,9,224.11,2016.99
17,2023-07-07,North,Groceries,12,7.13,85.56
717,2023-07-08,South,Electronics,12,91.4,1096.8
549,2023-07-08,East,Groceries,11,386.19,4248.09
701,2023-07-09,East,Furniture,7,474.69,3322.83
366,2023-07-09,North,Clothing,11,42.13,463.43
712,2023-07-10,North,Electronics,15,43.98,659.7
449,2023-07-10,South,Groceries,6,77.64,465.84
679,2023-07-10,North,Furniture,4,430.87,1723.48
296,2023-07-10,North,Groceries,8,92.62,740.96
578,2023-07-11,West,Furniture,18,412.84,7431.12
11,2023-07-12,North,Groceries,11,130.25,1432.75
507,2023-07-13,South,Groceries,12,358.23,4298.76
488,2023-07-13,North,Clothing,2,177.69,355.38
747,2023-07-14,East,Furniture,13,431.96,5615.48
656,2023-07-14,North,Clothing,10,263.38,2633.8
351,2023-07-14,South,Groceries,5,476.2,2381.0
606,2023-07-15,North,Groceries,8,295.88,2367.04
648,2023-07-15,West,Electronics,15,315.34,4730.1
561,2023-07-15,North,Groceries,18,226.87,4083.66
539,2023-07-17,West,Clothing,18,383.55,6903.9
289,2023-07-17,East,Electronics,13,426.01,5538.13
789,2023-07-18,West,Groceries,2,375.3,750.6
305,2023-07-18,South,Furniture,2,305.25,610.5
295,2023-07-18,South,Electronics,18,161.6,2908.8
229,2023-07-19,East,Clothing,12,461.23,5534.76
57,2023-07-19,North,Groceries,16,116.22,1859.52
331,2023-07-19,South,Electronics,19,323.78,6151.82
29,2023-07-19,West,Furniture,15,101.77,1526.55
762,2023-07-21,South,Groceries,17,30.62,520.54
655,2023-07-21,East,Furniture,15,483.27,7249.05
330,2023-07-22,East,Groceries,9,222.39,2001.51
113,2023-07-22,South,Groceries,19,490.09,9311.71
755,2023-07-22,South,Furniture,2,215.99,431.98
34,2023-07-22,North,Groceries,6,346.75,2080.5
456,2023-07-22,North,Furniture,2,242.5,485.0
132,2023-07-22,East,Groceries,16,30.19,483.04
308,2023-07-22,West,Electronics,6,40.54,243.24
158,2023-07-23,East,Clothing,17,486.31,8267.27
134,2023-07-24,East,Groceries,4,132.52,530.08
79,2023-07-26,East,Groceries,2,438.96,877.92
131,2023-07-26,East,Groceries,18,472.85,8511.3
706,2023-07-26,North,Electronics,6,165.7,994.2
126,2023-07-26,West,Groceries,7,32.33,226.31
437,2023-07-27,North,Clothing,19,471.49,8958.31
116,2023-07-27,South,Groceries,16,386.25,6180.0
570,2023-07-28,East,Groceries,13,253.74,3298.62
708,2023-07-28,South,Electronics,8,218.42,1747.36
288,2023-07-28,West,Furniture,11,98.41,1082.51
129,2023-07-29,South,Furniture,2,20.29,40.58
535,2023-07-30,East,Furniture,16,254.59,4073.44
597,2023-07-31,East,Furniture,6,38.43,230.58
228,2023-07-31,South,Groceries,1,243.39,243.39
677,2023-07-31,South,Electronics,3,280.31,840.93
424,2023-08-01,East,Clothing,19,127.91,2430.29
266,2023-08-01,South,Furniture,11,430.69,4737.59
242,2023-08-02,West,Electronics,10,287.14,2871.4
260,2023-08-03,South,Clothing,4,135.12,540.48
786,2023-08-03,South,Groceries,19,382.31,7263.89
270,2023-08-04,North,Groceries,19,417.25,7927.75
548,2023-08-04,East,Groceries,10,497.16,4971.6
698,2023-08-04,West,Furniture,6,26.37,158.22
520,2023-08-05,South,Clothing,8,123.92,991.36
688,2023-08-05,North,Groceries,4,383.28,1533.12
468,2023-08-06,South,Groceries,3,485.71,1457.13
455,2023-08-06,East,Clothing,14,165.33,2314.62
531,2023-08-07,South,Clothing,4,105.05,420.2
720,2023-08-07,South,Groceries,17,460.03,7820.51
665,2023-08-07,West,Electronics,14,283.19,3964.66
394,2023-08-07,East,Clothing,11,40.27,442.97
494,2023-08-09,North,Electronics,18,110.85,1995.3
137,2023-08-09,North,Clothing,7,443.42,3103.94
625,2023-08-09,South,Furniture,8,449.7,3597.6
193,2023-08-10,North,Furniture,11,112.23,1234.53
490,2023-08-10,East,Electronics,4,235.92,11324.16
269,2023-08-12,South,Electronics,2,266.63,533.26
767,2023-08-12,West,Furniture,15,135.34,2030.1
702,2023-08-13,South,Electronics,3,379.47,1138.41
601,2023-08-13,West,Furniture,15,63.75,956.25
323,2023-08-13,South,Groceries,3,241.23,723.69
672,2023-08-13,East,Furniture,10,308.16,3081.6
675,2023-08-15,West,Electronics,12,435.18,5222.16
343,2023-08-15,West,Groceries,10,209.9,2099.0
240,2023-08-17,West,Clothing,17,368.07,6257.19
245,2023-08-18,East,Clothing,9,87.85,790.65
599,2023-08-18,North,Clothing,9,132.99,1196.91
85,2023-08-18,West,Furniture,7,63.33,443.31
40,2023-08-19,West,Furniture,2,366.26,732.52
192,2023-08-19,East,Groceries,8,157.29,1258.32
743,2023-08-20,North,Clothing,9,365.3,3287.7
475,2023-08-20,West,Clothing,8,198.0,1584.0
341,2023-08-20,West,Electronics,4,115.68,462.72
658,2023-08-20,South,Clothing,3,397.87,1193.61
130,2023-08-20,East,Electronics,11,201.24,2213.64
458,2023-08-20,East,Clothing,15,240.06,3600.9
673,2023-08-21,South,Furniture,5,378.51,1892.55
782,2023-08-21,North,Furniture,4,122.58,490.32
99,2023-08-21,North,Furniture,1,480.51,480.51
616,2023-08-22,West,Furniture,9,48.44,435.96
569,2023-08-23,West,Groceries,14,167.26,2341.64
600,2023-08-23,South,Electronics,13,333.15,4330.95
26,2023-08-24,North,Groceries,11,374.8,4122.8
771,2023-08-26,North,Electronics,12,233.8,2805.6
244,2023-08-26,South,Groceries,9,470.83,4237.47
502,2023-08-26,South,Clothing,16,69.72,1115.52
123,2023-08-27,South,Clothing,4,357.4,1429.6
3,2023-08-27,East,Groceries,15,340.47,5107.05
652,2023-08-27,North,Clothing,4,387.07,1548.28
316,2023-08-29,South,Clothing,9,105.38,948.42
730,2023-08-29,West,Electronics,16,251.51,4024.16
446,2023-08-30,West,Groceries,9,25.96,233.64
156,2023-08-30,East,Furniture,2,291.41,582.82
255,2023-08-30,North,Electronics,17,425.62,7235.54
372,2023-08-30,East,Groceries,1,484.88,484.88
162,2023-08-31,South,Furniture,7,88.72,621.04
479,2023-08-31,North,Furniture,17,154.19,2621.23
108,2023-08-31,North,Groceries,12,209.13,2509.56
